Customer Number,Loan Reference,Loan Repaid Date,Loan Start Date
1000129043,300000138140,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129044,300000138141,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129045,300000138142,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129046,300000138143,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129047,300000138144,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129048,300000138145,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129049,300000138146,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129050,300000138147,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129052,300000138149,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129053,300000138150,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129054,300000138151,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129055,300000138152,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129056,300000138153,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129057,300000138154,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129058,300000138155,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129060,300000138157,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129061,300000138158,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129104,300000138201,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129106,300000138203,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129107,300000138204,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129108,300000138205,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129110,300000138207,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129111,300000138208,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129112,300000138209,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129113,300000138210,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129114,300000138211,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129115,300000138212,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129117,300000138214,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129118,300000138215,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129119,300000138216,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129121,300000138218,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129122,300000138219,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129123,300000138220,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129124,300000138221,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129125,300000138222,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129126,300000138223,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129127,300000138224,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129128,300000138225,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129129,300000138226,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129132,300000138229,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129133,300000138230,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129134,300000138231,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129136,300000138233,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129137,300000138234,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129138,300000138235,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129140,300000138237,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129141,300000138238,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
1000129142,300000138239,2016-08-11T00:00:00+03:00,2016-08-11T00:00:00+03:00
